fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.5499999999999998,0.4691358024691358,0.5624999999999999,0.9305555555555555,0.5357142857142857,0.5477707006369427,0.6377118644067796,0.8928887103254297,0.2565789473684217,0.4259259259259258,0.12903225806451624,0.5
0.3749999999999998,0.5432098765432098,0.5208333333333333,0.046296296296296294,0.6071428571428571,0.15286624203821658,0.47669491525423724,0.44290879871434896,0.6513157894736845,0.4999999999999999,0.24193548387096775,0.5
0.8249999999999997,0.49382716049382724,0.6458333333333333,0.29166666666666663,0.625,0.356687898089172,0.3283898305084746,0.5136199276818019,0.5986842105263164,0.40740740740740733,0.33870967741935476,0.5
0.5999999999999999,0.37037037037037035,0.47916666666666663,0.3657407407407407,0.7678571428571428,0.5732484076433121,0.7055084745762712,0.5457613499397453,0.5065789473684217,0.33333333333333326,0.306451612903226,0.5
0.34999999999999987,0.5925925925925926,0.1458333333333333,0.2962962962962963,0.5357142857142857,0.356687898089172,0.4936440677966102,0.5007633587786344,0.4934210526315792,0.4629629629629628,0.25806451612903225,0.5
0.8249999999999997,0.345679012345679,0.7083333333333331,0.04166666666666667,0.5178571428571428,0.3312101910828026,0.4639830508474576,0.4300522298111744,0.5460526315789482,0.4259259259259258,0.4838709677419355,0.5
0.8249999999999997,0.4691358024691358,0.6666666666666665,0.039351851851851846,0.3214285714285715,0.11464968152866242,0.1843220338983051,0.2372036962635633,0.24342105263157965,0.6296296296296297,0.6451612903225807,0.33333333333333326
0.9499999999999997,0.37037037037037035,0.6458333333333333,0.16666666666666669,0.3571428571428572,0.1910828025477707,0.3792372881355932,0.4879067898754599,0.44078947368421106,0.574074074074074,0.27419354838709675,0.33333333333333326
0.7749999999999999,0.24691358024691357,0.5833333333333333,0.027777777777777776,0.4464285714285715,0.178343949044586,0.2351694915254237,0.3143431096826035,0.4934210526315792,0.759259259259259,0.4516129032258067,0.33333333333333326
0.44999999999999973,0.19753086419753085,0.6458333333333333,0.04166666666666667,0.5178571428571428,0.5859872611464969,0.5233050847457628,0.2629168340699053,0.9671052631578951,0.5555555555555555,0.709677419354839,0.6666666666666665
0.875,0.8395061728395061,1.0,0.8634259259259258,0.4464285714285715,0.4968152866242038,0.646186440677966,0.8414624347127457,0.23026315789473717,0.8333333333333331,0.27419354838709675,0.33333333333333326
0.44999999999999973,0.22222222222222227,0.6041666666666665,0.04166666666666667,0.3035714285714286,0.3312101910828026,0.3919491525423729,0.27577340297307984,0.5855263157894739,0.611111111111111,0.5483870967741937,0.6666666666666665
0.3749999999999998,0.9876543209876543,0.0,0.023148148148148154,0.5535714285714285,0.356687898089172,0.336864406779661,0.3657693852953017,0.5723684210526323,0.2592592592592592,0.25806451612903225,0.5
0.34999999999999987,1.0,0.8124999999999998,0.027777777777777776,0.2500000000000001,0.3439490445859873,0.2351694915254237,0.13435114503816692,0.6907894736842111,0.31481481481481477,0.774193548387097,0.8333333333333333
0.6499999999999999,0.6419753086419754,0.6874999999999999,0.023148148148148154,0.3214285714285715,0.1910828025477707,0.6419491525423728,0.29505825632784877,0.414473684210527,0.574074074074074,0.5322580645161292,0.5
0.4249999999999998,0.5679012345679012,0.1041666666666666,0.3194444444444444,0.5178571428571428,0.40764331210191085,0.48093220338983056,0.5393330654881581,0.5460526315789482,0.5185185185185184,0.24193548387096775,0.33333333333333326
0.3999999999999999,0.5679012345679012,0.6041666666666665,0.10648148148148147,0.4107142857142857,0.21656050955414013,0.3495762711864407,0.2629168340699053,0.4802631578947376,0.2407407407407406,0.4838709677419355,0.6666666666666665
0.4999999999999998,0.4444444444444444,0.6874999999999999,0.050925925925925916,0.6071428571428571,0.4968152866242038,0.43432203389830504,0.3786259541984762,0.8750000000000004,0.4814814814814813,0.403225806451613,0.8333333333333333
0.6999999999999997,1.0,0.1041666666666666,0.04166666666666667,1.0,0.29299363057324845,0.6292372881355932,0.42362394535958714,0.3223684210526314,0.5370370370370369,0.20967741935483875,0.33333333333333326
0.44999999999999973,0.4691358024691358,0.6666666666666665,0.032407407407407406,0.6607142857142856,0.178343949044586,0.5190677966101694,0.5136199276818019,0.8092105263157898,0.4629629629629628,0.3225806451612905,0.5
0.5499999999999998,0.41975308641975306,0.47916666666666663,0.38888888888888884,0.5535714285714285,0.6878980891719746,0.9555084745762711,0.5393330654881581,0.5855263157894739,0.5185185185185184,0.3870967741935485,0.5
0.5249999999999999,0.3950617283950617,0.5416666666666665,0.018518518518518517,0.6607142857142856,0.42038216560509556,0.5360169491525424,0.3786259541984762,0.8486842105263164,0.40740740740740733,0.3225806451612905,0.5
